5000 vertices, 7500 edges
0: 280 172 2855 
1: 3860 382 3531 
2: 954 216 1262 
3: 2036 4684 4036 
4: 1468 475 1409 
5: 2464 2226 2332 
6: 1865 3959 3823 
7: 3337 4990 644 
8: 1075 3987 4753 
9: 1212 4434 4949 
10: 4025 1734 2394 
11: 3281 1602 3303 
12: 3067 4354 2822 
13: 1195 3003 1704 
14: 3570 1678 2874 
15: 562 480 4504 
16: 2593 1054 532 
17: 1798 1826 1420 
18: 893 3725 4147 
19: 3833 2594 2882 
20: 4765 3207 4686 
21: 1957 3460 2529 
22: 3081 1164 3322 
23: 843 3277 3468 
24: 3420 4488 4970 
25: 498 3240 2534 
26: 2895 1825 845 
27: 1821 65 506 
28: 1357 4992 799 
29: 3795 3892 1317 
30: 1517 3946 3878 
31: 4027 4365 473 
32: 215 3688 3703 
33: 3751 4332 2594 
34: 3599 4830 4136 
35: 1638 3708 3441 
36: 3226 4488 1889 
37: 632 3363 3671 
38: 2565 4921 4822 
39: 428 1941 645 
40: 2145 663 4697 
41: 1444 959 3230 
42: 1083 4789 2911 
43: 2692 2579 174 
44: 488 2153 3744 
45: 4149 1035 403 
46: 938 4825 1418 
47: 4945 4347 616 
48: 4567 3184 1451 
49: 3325 3557 180 
50: 3075 1157 2147 
51: 2684 2089 2023 
52: 335 2379 3826 
53: 414 543 807 
54: 1446 4900 1058 
55: 2415 3556 2156 
56: 373 3085 822 
57: 180 170 622 
58: 3960 1702 1939 
59: 4074 3746 4297 
60: 828 4029 1093 
61: 544 1599 4241 
62: 4210 1983 1096 
63: 3014 3654 4112 
64: 701 2298 1764 
65: 27 1992 3439 
66: 1270 91 3792 
67: 3277 3214 4078 
68: 554 3596 2525 
69: 1284 3859 2037 
70: 3729 3017 4762 
71: 3256 122 1208 
72: 1912 3753 3664 
73: 2512 4451 4361 
74: 129 3956 3283 
75: 4097 3812 4342 
76: 115 1661 3001 
77: 3192 1515 3908 
78: 2818 3561 236 
79: 1154 1125 1925 
80: 2271 2538 1535 
81: 3439 527 791 
82: 1339 1021 4743 
83: 911 1937 2974 
84: 2469 4212 4007 
85: 3695 1761 2836 
86: 2311 2957 982 
87: 2474 3753 4276 
88: 361 3498 3496 
89: 3905 1794 4629 
90: 3037 2870 145 
91: 66 3497 2834 
92: 3139 4374 3339 
93: 1159 2657 515 
94: 834 3532 1898 
95: 3529 695 2883 
96: 3007 514 3280 
97: 4467 4127 508 
98: 2456 2074 4634 
99: 2973 301 2944 
100: 1279 3283 2875 
101: 989 3499 4338 
102: 4144 565 1454 
103: 495 1476 2571 
104: 2170 3587 1866 
105: 3737 3960 1580 
106: 1408 3237 1593 
107: 4557 2335 2295 
108: 1926 4262 799 
109: 3894 796 1958 
110: 3835 4803 2551 
111: 3412 2132 1414 
112: 2250 502 172 
113: 1476 864 4466 
114: 1330 1795 1126 
115: 76 269 4595 
116: 2711 2701 2814 
117: 2509 1097 1035 
118: 4823 1266 4977 
119: 1631 475 4889 
120: 4075 3055 1094 
121: 1681 2398 1589 
122: 71 1680 2681 
123: 294 4196 4093 
124: 1938 2634 3245 
125: 4084 2825 3102 
126: 4215 368 1561 
127: 3999 2311 769 
128: 2220 3727 4155 
129: 74 1602 2990 
130: 2363 4779 4051 
131: 4606 4807 3860 
132: 294 257 3931 
133: 1458 894 4860 
134: 4782 1882 356 
135: 4766 473 1569 
136: 1148 2305 2607 
137: 4124 660 3563 
138: 4792 3365 4612 
139: 3173 2277 2152 
140: 4863 3109 4023 
141: 1195 1245 214 
142: 1183 718 563 
143: 224 2671 582 
144: 4536 203 3594 
145: 90 3700 3810 
146: 3592 1155 3189 
147: 2998 4653 4682 
148: 1162 2209 3610 
149: 3934 1978 3801 
150: 4001 272 1339 
151: 1409 355 4058 
152: 4079 2397 868 
153: 2819 1243 634 
154: 3088 3593 2299 
155: 3225 2544 3297 
156: 1849 2096 1293 
157: 3829 1861 4732 
158: 3573 2219 3894 
159: 856 3146 1989 
160: 4911 4731 3184 
161: 1170 3196 1552 
162: 4975 2577 4452 
163: 2743 1158 3590 
164: 3688 1684 2793 
165: 698 1657 1409 
166: 2953 4531 3208 
167: 2013 1458 2637 
168: 1223 2488 1314 
169: 635 1373 4074 
170: 57 364 927 
171: 2471 1087 4684 
172: 0 112 1497 
173: 2274 976 3774 
174: 43 3623 796 
175: 1434 935 706 
176: 3410 1603 3941 
177: 4640 3156 2878 
178: 1354 3651 4621 
179: 2325 2884 3718 
180: 49 57 4207 
181: 1142 3024 3495 
182: 2195 459 1844 
183: 1142 774 1898 
184: 3148 1792 2823 
185: 1397 2115 448 
186: 3204 1759 236 
187: 3931 2093 4357 
188: 4793 3262 4128 
189: 412 1704 1903 
190: 2195 4556 3262 
191: 1196 4057 1008 
192: 2587 2027 3721 
193: 4293 3056 3527 
194: 4761 2412 2783 
195: 4731 4476 2952 
196: 4953 3620 3103 
197: 3022 4691 4508 
198: 4017 2424 1377 
199: 718 4766 4216 
200: 383 1534 3702 
201: 1083 4329 4100 
202: 320 1723 482 
203: 144 3335 701 
204: 1615 1457 2859 
205: 969 3513 2343 
206: 718 2571 4796 
207: 2325 1132 4078 
208: 775 4395 2765 
209: 3585 3779 1803 
210: 312 4161 4269 
211: 2063 3494 4952 
212: 3458 4422 2226 
213: 4986 2043 2664 
214: 141 3134 705 
215: 32 3013 3153 
216: 2 1495 1922 
217: 2546 4034 333 
218: 502 4789 3020 
219: 1084 3762 4975 
220: 1532 3156 225 
221: 3146 1055 875 
222: 1544 727 883 
223: 2621 4242 4793 
224: 143 3454 3053 
225: 220 4227 4354 
226: 4292 2745 3184 
227: 2893 3911 396 
228: 2813 2970 3758 
229: 1012 3422 2615 
230: 3150 3802 3451 
231: 4309 2903 4391 
232: 1826 3926 2938 
233: 4782 4835 2701 
234: 1504 1532 1897 
235: 3846 3551 4389 
236: 78 186 1703 
237: 1525 4675 350 
238: 2308 4814 1875 
239: 4452 3548 1378 
240: 3153 2794 2122 
241: 2895 1996 964 
242: 4564 654 1018 
243: 367 3401 2609 
244: 3786 1757 3130 
245: 4051 372 788 
246: 3267 3232 1662 
247: 685 667 4347 
248: 1619 1809 4302 
249: 3546 1858 602 
250: 4884 1745 295 
251: 4064 4131 2675 
252: 3142 2101 1405 
253: 3934 4533 1845 
254: 4377 3064 1263 
255: 3606 3837 663 
256: 3434 3679 4347 
257: 132 2737 2406 
258: 459 3494 2307 
259: 2417 2606 2542 
260: 3636 4842 1857 
261: 624 3376 773 
262: 4230 3973 4435 
263: 335 3980 4433 
264: 1166 817 351 
265: 449 2262 3278 
266: 1255 1975 4320 
267: 485 1819 4735 
268: 3545 4974 1603 
269: 115 3919 823 
270: 3866 589 4046 
271: 4053 2650 1120 
272: 150 3766 3621 
273: 1419 4563 4546 
274: 2083 2917 4558 
275: 4297 3175 1827 
276: 4564 1895 3766 
277: 2073 3841 1661 
278: 2102 1736 2332 
279: 473 849 1085 
280: 0 1775 4759 
281: 1715 393 2659 
282: 3204 2691 2797 
283: 4678 4387 4236 
284: 1030 1202 2352 
285: 959 1846 2203 
286: 3673 1107 4661 
287: 2957 1447 4641 
288: 1864 2596 1923 
289: 698 1121 3263 
290: 4858 4966 2294 
291: 1113 2085 494 
292: 4453 2506 536 
293: 2489 3513 588 
294: 123 132 874 
295: 250 834 3947 
296: 3190 1426 3761 
297: 2993 3310 4144 
298: 3725 997 3579 
299: 3725 3539 1677 
300: 3305 2967 3192 
301: 99 1170 4398 
302: 1949 2114 2903 
303: 1633 2012 1453 
304: 880 2724 434 
305: 1564 1868 3194 
306: 4058 3321 2247 
307: 3450 3056 2947 
308: 3376 436 1224 
309: 2935 4499 4387 
310: 4747 1670 808 
311: 3412 2787 1739 
312: 210 4638 1686 
313: 3807 2995 3747 
314: 4757 4512 3545 
315: 4179 3419 2995 
316: 4600 3543 1059 
317: 337 4481 698 
318: 4576 3605 388 
319: 4435 2820 4514 
320: 202 4863 1533 
321: 1815 3017 3823 
322: 3170 4951 3586 
323: 2428 1217 3980 
324: 1383 2415 617 
325: 2067 2129 1072 
326: 1097 3611 1414 
327: 784 1103 3230 
328: 486 3958 3276 
329: 1581 4397 2042 
330: 1159 4619 781 
331: 2766 1052 2469 
332: 579 3919 2092 
333: 217 654 4595 
334: 4113 2377 1207 
335: 52 263 651 
336: 3858 2598 900 
337: 317 3754 1212 
338: 2802 4153 2467 
339: 4839 4163 4450 
340: 1676 2299 451 
341: 465 2434 4650 
342: 509 3239 2112 
343: 2558 2391 734 
344: 3647 4012 781 
345: 4938 3388 1708 
346: 1384 1517 714 
347: 3389 570 2287 
348: 1721 1016 4356 
349: 954 1960 4687 
350: 237 841 3484 
351: 264 3939 2418 
352: 1328 3034 4282 
353: 2133 2485 2405 
354: 2833 1145 1177 
355: 151 4077 1796 
356: 134 374 3309 
357: 3529 3937 2534 
358: 942 1590 4024 
359: 3710 2845 628 
360: 4986 1220 1739 
361: 88 2139 4722 
362: 2494 1926 842 
363: 2571 827 2323 
364: 170 3458 486 
365: 921 4295 1909 
366: 1740 953 4918 
367: 243 1133 806 
368: 126 3165 2086 
369: 4491 4240 2611 
370: 3530 947 2495 
371: 2958 4126 3586 
372: 245 1055 2918 
373: 56 3621 643 
374: 356 2302 4117 
375: 4517 4002 1543 
376: 2269 3555 1083 
377: 1292 4598 478 
378: 4738 974 4896 
379: 913 827 3943 
380: 2626 3387 821 
381: 4228 3816 532 
382: 1 1325 3077 
383: 200 3616 2806 
384: 2660 4494 878 
385: 4745 2463 1919 
386: 4725 4776 1507 
387: 4274 3608 2973 
388: 318 1367 1706 
389: 3616 1921 4387 
390: 3457 4022 1228 
391: 2151 2648 4621 
392: 4701 2464 537 
393: 281 2804 3866 
394: 2419 4296 3108 
395: 3796 3870 1039 
396: 227 2929 2660 
397: 4095 525 4651 
398: 2614 2326 963 
399: 812 1616 2838 
400: 1995 2122 4609 
401: 1788 3814 1780 
402: 3016 3404 2558 
403: 45 4752 2383 
404: 3775 2067 3576 
405: 2865 495 3025 
406: 3873 958 3409 
407: 1994 705 4504 
408: 1403 2636 2064 
409: 2877 2669 4517 
410: 3032 1838 2099 
411: 4226 1857 899 
412: 189 3405 3685 
413: 1595 2518 3753 
414: 53 475 3457 
415: 1434 3269 4398 
416: 1047 3545 4550 
417: 2957 3082 3283 
418: 3045 3203 925 
419: 4260 3194 2631 
420: 4883 3844 885 
421: 3756 2758 1178 
422: 1413 2879 4116 
423: 3787 752 2309 
424: 3451 1307 731 
425: 510 3984 3683 
426: 4020 2684 1504 
427: 1778 879 2389 
428: 39 3464 2634 
429: 2971 1690 2166 
430: 4725 3626 4951 
431: 2287 4541 2978 
432: 2834 3640 1726 
433: 1818 2018 3546 
434: 304 3696 4954 
435: 1675 1387 2071 
436: 308 2278 1618 
437: 1711 3899 2901 
438: 3206 4241 1381 
439: 4162 1989 1722 
440: 4318 2204 4084 
441: 2205 4447 836 
442: 2094 4249 4557 
443: 4346 4701 2905 
444: 465 4172 3329 
445: 3568 4718 2970 
446: 2987 455 4831 
447: 3272 1858 1894 
448: 185 3128 1590 
449: 265 4099 4421 
450: 4893 2592 2080 
451: 340 3236 2833 
452: 3135 4155 1224 
453: 2415 869 2449 
454: 1854 4411 4273 
455: 446 3031 3981 
456: 3477 1250 2818 
457: 2066 1084 2981 
458: 2747 3249 3602 
459: 182 258 3112 
460: 1318 4995 4823 
461: 636 3473 3553 
462: 3549 3407 3688 
463: 3906 2445 4493 
464: 3933 3621 3630 
465: 341 444 4751 
466: 1874 4225 3310 
467: 2244 1601 3813 
468: 2012 2296 4460 
469: 1880 3051 4228 
470: 3180 4828 2122 
471: 1299 3781 1545 
472: 1427 1597 649 
473: 31 135 279 
474: 2795 4754 2728 
475: 4 119 414 
476: 1262 4009 4396 
477: 4994 3657 2225 
478: 377 991 1407 
479: 908 818 3396 
480: 15 1134 1555 
481: 1101 4214 2843 
482: 202 4108 3586 
483: 4926 4095 1530 
484: 3703 4721 1597 
485: 267 2430 2003 
486: 328 364 4176 
487: 2330 1912 1303 
488: 44 4704 634 
489: 2964 3109 1372 
490: 4237 3682 1388 
491: 774 1461 3405 
492: 1201 1757 3558 
493: 2833 4392 1957 
494: 291 2164 2160 
495: 103 405 1508 
496: 1895 4792 4948 
497: 561 1977 3493 
498: 25 2365 4916 
499: 546 1856 4472 
500: 1843 3464 3979 
501: 3846 1618 3052 
502: 112 218 1366 
503: 3347 886 2211 
504: 817 1705 4708 
505: 2248 2879 612 
506: 27 3199 4821 
507: 1898 573 844 
508: 97 2812 3296 
509: 342 755 1097 
510: 425 2775 2997 
511: 4559 1316 2000 
512: 3240 1585 3388 
513: 4108 4320 2233 
514: 96 2312 2141 
515: 93 4665 877 
516: 4141 3770 2473 
517: 1679 4595 4414 
518: 4737 790 4512 
519: 3754 2660 819 
520: 2183 3312 1124 
521: 4001 1117 4459 
522: 2158 1018 2671 
523: 3046 4134 3636 
524: 4465 3357 4660 
525: 397 2819 4284 
526: 2315 600 2486 
527: 81 3252 3528 
528: 1417 4590 2039 
529: 1944 3578 3471 
530: 3701 1016 4577 
531: 4823 4170 1941 
532: 16 381 2814 
533: 2696 1499 3809 
534: 3904 4810 808 
535: 1235 764 845 
536: 292 1431 4473 
537: 392 3768 2965 
538: 1800 4040 4312 
539: 3177 890 4928 
540: 1274 3113 4446 
541: 4203 3325 2528 
542: 1382 2358 3175 
543: 53 4326 3663 
544: 61 1064 1136 
545: 2183 1570 1460 
546: 499 3783 4390 
547: 3902 3249 2361 
548: 3227 4357 3920 
549: 3254 1266 2376 
550: 2257 2621 2829 
551: 2241 3363 4653 
552: 3200 1623 4761 
553: 2485 4443 2282 
554: 68 2578 3694 
555: 2711 1783 2587 
556: 2725 954 3535 
557: 4968 4476 3242 
558: 2151 2814 3503 
559: 852 2341 2384 
560: 4373 3172 4621 
561: 497 3997 2247 
562: 15 3598 2654 
563: 142 2114 4234 
564: 2277 3821 3603 
565: 102 3643 2890 
566: 3067 1019 869 
567: 1900 582 4789 
568: 4374 1595 4902 
569: 2378 2882 3203 
570: 347 3988 1162 
571: 1529 4636 1118 
572: 640 614 1957 
573: 507 2610 1965 
574: 4643 2103 2427 
575: 982 4123 1412 
576: 4826 938 2140 
577: 2823 1182 4379 
578: 1939 773 2555 
579: 332 1185 1612 
580: 4642 782 3817 
581: 4140 3400 4773 
582: 143 567 2433 
583: 3639 3216 3232 
584: 2267 3310 1905 
585: 2230 4696 2275 
586: 1423 2185 4454 
587: 2142 4411 1941 
588: 293 2351 2278 
589: 270 3649 2492 
590: 2025 1702 4433 
591: 3540 817 892 
592: 3801 595 1009 
593: 4277 1937 4481 
594: 4109 4618 2885 
595: 592 900 3460 
596: 2007 4146 3907 
597: 4926 3788 1791 
598: 4115 4548 2830 
599: 4442 3767 4629 
600: 526 4396 1064 
601: 1648 1581 1176 
602: 249 3536 4071 
603: 2246 4840 2549 
604: 814 4294 760 
605: 1978 2451 3663 
606: 2135 1722 2307 
607: 2892 4834 3574 
608: 3097 2310 4617 
609: 2172 1788 1477 
610: 3112 3608 3349 
611: 2088 1188 733 
612: 505 2308 991 
613: 2269 2025 2665 
614: 572 1232 2244 
615: 1053 1734 4757 
616: 47 2773 3756 
617: 324 4436 3860 
618: 3917 4540 2105 
619: 4164 1679 4206 
620: 4265 4548 2265 
621: 3490 3534 1652 
622: 57 769 4055 
623: 4788 1431 2942 
624: 261 2088 4441 
625: 1177 4583 1470 
626: 2474 2734 3450 
627: 1394 4103 2409 
628: 359 3878 3730 
629: 2471 4295 2276 
630: 2203 4556 3157 
631: 826 4566 3080 
632: 37 4054 1238 
633: 2629 1571 3233 
634: 153 488 4910 
635: 169 1272 2932 
636: 461 3942 788 
637: 4511 2585 3831 
638: 1492 1354 2757 
639: 2406 710 3518 
640: 572 1125 4613 
641: 1489 3278 777 
642: 690 1943 1046 
643: 373 3794 4098 
644: 7 872 3729 
645: 39 4147 4968 
646: 1428 1541 4484 
647: 1828 2312 1218 
648: 3175 1766 1150 
649: 472 2548 2314 
650: 2776 1601 4978 
651: 335 2433 3603 
652: 701 4290 3961 
653: 1042 1899 2094 
654: 242 333 4548 
655: 1536 2995 4791 
656: 4907 3668 3047 
657: 4230 2341 2325 
658: 3267 983 2009 
659: 4672 2546 3347 
660: 137 1092 4619 
661: 3912 1921 3273 
662: 3697 867 1195 
663: 40 255 4105 
664: 1072 2692 3821 
665: 3576 3448 984 
666: 996 3322 2178 
667: 247 1815 4251 
668: 3187 4844 1044 
669: 3060 2591 1866 
670: 2943 3627 877 
671: 3542 4743 4607 
672: 1367 775 773 
673: 1412 4195 2878 
674: 1067 4710 4895 
675: 4031 2846 2353 
676: 1511 3207 1560 
677: 4530 695 879 
678: 4437 2165 4253 
679: 3187 1547 4650 
680: 4689 947 2682 
681: 1026 933 1912 
682: 2959 1882 4907 
683: 2459 3694 4362 
684: 1728 988 3673 
685: 247 4722 1929 
686: 4485 2974 3368 
687: 3774 2461 3187 
688: 1635 2340 4026 
689: 4079 3882 1552 
690: 642 4442 1303 
691: 4489 3989 3494 
692: 1842 1794 1479 
693: 1573 1929 2717 
694: 3336 4850 3312 
695: 95 677 799 
696: 2123 2716 4513 
697: 882 4328 2131 
698: 165 289 317 
699: 4115 4763 761 
700: 1167 2424 1054 
701: 64 203 652 
702: 2218 3211 1609 
703: 3449 2692 4526 
704: 3569 4421 1888 
705: 214 407 3761 
706: 175 4062 1648 
707: 3057 2704 2572 
708: 2798 4101 2912 
709: 3448 4087 3944 
710: 639 3376 2008 
711: 1769 1883 3722 
712: 3166 3903 4975 
713: 3637 2838 2881 
714: 346 3285 4766 
715: 1939 4950 4105 
716: 3990 2481 1894 
717: 4005 4330 4116 
718: 142 199 206 
719: 3277 4213 3973 
720: 3795 3004 837 
721: 3064 1256 1501 
722: 1636 3526 3866 
723: 1754 3022 1176 
724: 4303 3821 3441 
725: 2673 1758 1611 
726: 2974 2199 2371 
727: 222 3380 2416 
728: 2688 4749 1673 
729: 1058 4884 3032 
730: 3025 4646 4280 
731: 424 3435 1870 
732: 4458 2742 1819 
733: 611 2089 1107 
734: 343 3416 4749 
735: 3038 2242 3660 
736: 2257 2786 837 
737: 2529 2618 4731 
738: 4867 3649 1663 
739: 3775 2908 2075 
740: 989 2311 3602 
741: 4921 3201 1052 
742: 2886 1871 3375 
743: 1143 1623 4025 
744: 910 4849 4231 
745: 1007 2771 4276 
746: 3427 2512 1926 
747: 796 3299 3091 
748: 4062 3562 2988 
749: 4094 2170 4741 
750: 4846 1859 3801 
751: 3471 2737 1890 
752: 423 2424 4086 
753: 2697 831 1830 
754: 3470 3056 858 
755: 509 3964 2719 
756: 3255 1969 2251 
757: 3156 1743 3510 
758: 4831 4755 2048 
759: 2906 2907 2440 
760: 604 3673 3668 
761: 699 4031 1257 
762: 2459 2002 3168 
763: 2329 770 1414 
764: 535 3759 3605 
765: 4831 3955 1993 
766: 4940 2211 2349 
767: 1657 1528 1591 
768: 4169 2337 2934 
769: 127 622 3263 
770: 763 2500 2851 
771: 1050 4582 3608 
772: 4756 4659 803 
773: 261 578 672 
774: 183 491 3071 
775: 208 672 3690 
776: 3488 3221 1207 
777: 641 898 3778 
778: 3055 1900 3101 
779: 3463 3502 2900 
780: 3751 1279 992 
781: 330 344 2023 
782: 580 3789 1948 
783: 4240 3206 3765 
784: 327 1482 3147 
785: 3096 1418 4332 
786: 1688 4648 4472 
787: 1644 3680 4191 
788: 245 636 2487 
789: 1420 3875 991 
790: 518 3384 3920 
791: 81 1132 4235 
792: 4184 4468 4811 
793: 3663 4573 1519 
794: 977 1128 1608 
795: 1396 2646 3820 
796: 109 174 747 
797: 2906 3880 3585 
798: 4787 2372 4230 
799: 28 108 695 
800: 3551 4852 868 
801: 4864 1126 2842 
802: 4627 1345 822 
803: 772 4340 2491 
804: 4967 2639 2628 
805: 1808 3912 3161 
806: 367 2703 3805 
807: 53 3081 4489 
808: 310 534 4622 
809: 3865 3240 4281 
810: 1216 2247 888 
811: 2993 893 4836 
812: 399 3446 1626 
813: 2061 4425 4492 
814: 604 1318 1217 
815: 4684 2364 2918 
816: 3600 1475 2290 
817: 264 504 591 
818: 479 4889 2534 
819: 519 2865 2492 
820: 4289 4267 3849 
821: 380 4259 2044 
822: 56 802 3390 
823: 269 2137 2693 
824: 3117 1106 1374 
825: 4824 1232 4341 
826: 631 4356 1534 
827: 363 379 1676 
828: 60 1767 3318 
829: 4542 3307 2689 
830: 1014 3334 2896 
831: 753 1040 3036 
832: 4609 1400 4268 
833: 3738 4578 4838 
834: 94 295 3644 
835: 3675 4753 4148 
836: 441 3118 3471 
837: 720 736 2239 
838: 3383 2164 4269 
839: 3383 3766 2807 
840: 1461 1823 3064 
841: 350 4913 1736 
842: 362 2147 2803 
843: 23 4737 909 
844: 507 4342 4215 
845: 26 535 4430 
846: 1362 3819 2916 
847: 2087 1977 3274 
848: 987 3014 3155 
849: 279 1161 2127 
850: 3825 1537 1707 
851: 4023 3780 1931 
852: 559 1935 2326 
853: 1804 3302 3596 
854: 4836 4734 1510 
855: 3625 2635 1220 
856: 159 1297 1229 
857: 4221 3665 962 
858: 754 4644 3823 
859: 3834 4768 2093 
860: 3718 3501 1290 
861: 3407 1853 2206 
862: 1047 3348 4852 
863: 2409 2343 4906 
864: 113 3973 1161 
865: 2727 3504 3722 
866: 1523 3407 3876 
867: 662 4149 4612 
868: 152 800 2245 
869: 453 566 878 
870: 3943 4709 1423 
871: 3472 3371 989 
872: 644 3349 4639 
873: 1265 964 2274 
874: 294 2110 4565 
875: 221 3345 2208 
876: 1759 4914 930 
877: 515 670 894 
878: 384 869 2697 
879: 427 677 4402 
880: 304 3372 3289 
881: 1082 1081 4951 
882: 697 1851 1291 
883: 222 2700 2597 
884: 3038 2387 3049 
885: 420 4744 4505 
886: 503 3507 3231 
887: 3937 1044 4199 
888: 810 2972 1304 
889: 4876 4988 1286 
890: 539 3942 2096 
891: 4941 3068 1121 
892: 591 3599 2327 
893: 18 811 1896 
894: 133 877 1193 
895: 2013 2402 4828 
896: 4338 2375 4229 
897: 4055 1741 4300 
898: 777 2335 3826 
899: 411 3214 1632 
900: 336 595 4351 
901: 2706 3044 2075 
902: 2136 3482 2809 
903: 4111 4013 1846 
904: 2560 1545 4550 
905: 2314 2434 2409 
906: 4583 3833 1005 
907: 1418 2859 4328 
908: 479 4509 4271 
909: 843 1987 1883 
910: 744 3511 4030 
911: 83 4570 3005 
912: 2277 1646 1341 
913: 379 2192 1691 
914: 3712 3634 4106 
915: 4287 4005 1342 
916: 4813 4196 3192 
917: 1599 2161 1415 
918: 3085 4435 1522 
919: 3204 1252 3833 
920: 4896 4792 1721 
921: 365 2860 2089 
922: 1135 2808 2216 
923: 2873 4638 926 
924: 4071 1752 1699 
925: 418 4478 1003 
926: 923 4467 4499 
927: 170 2294 1628 
928: 4390 2837 4103 
929: 2728 1411 2058 
930: 876 4223 3764 
931: 2917 4025 3573 
932: 3585 3820 1515 
933: 681 3436 969 
934: 3980 2704 4642 
935: 175 3637 1560 
936: 4510 2071 1956 
937: 2532 4797 2073 
938: 46 576 2620 
939: 4852 1180 1220 
940: 3178 4291 2927 
941: 3576 1257 4465 
942: 358 1213 2041 
943: 2293 3347 3231 
944: 1866 1676 1125 
945: 3741 2649 1166 
946: 4818 1261 1184 
947: 370 680 2984 
948: 4325 3333 4740 
949: 4190 4500 2197 
950: 4050 1541 990 
951: 1553 995 3470 
952: 2581 1266 3572 
953: 366 983 2720 
954: 2 349 556 
955: 2716 3933 3525 
956: 3849 4150 4700 
957: 4814 1533 1960 
958: 406 2762 3090 
959: 41 285 4688 
960: 2034 3932 3408 
961: 4129 3792 2596 
962: 857 2549 2912 
963: 398 3140 3671 
964: 241 873 4603 
965: 3086 2098 4129 
966: 2073 4752 1497 
967: 4659 2302 1022 
968: 3581 2755 3624 
969: 205 933 2495 
970: 986 3294 2599 
971: 2284 4558 2600 
972: 2691 2123 2584 
973: 4060 1999 2958 
974: 378 1170 3158 
975: 4095 4079 1311 
976: 173 3474 3449 
977: 794 1450 3336 
978: 2880 1808 4152 
979: 1682 4705 2321 
980: 3602 2217 3182 
981: 3965 3117 3018 
982: 86 575 3828 
983: 658 953 4317 
984: 665 2674 2812 
985: 3701 3228 3957 
986: 970 2449 2202 
987: 848 3662 1050 
988: 684 2902 4540 
989: 101 740 871 
990: 950 1561 4361 
991: 478 612 789 
992: 780 4322 4520 
993: 2289 1068 1333 
994: 2041 3691 4307 
995: 951 3531 1638 
996: 666 1281 4754 
997: 298 2679 3416 
998: 3613 3706 4762 
999: 3327 1805 2121 
1000: 3697 4952 2829 
1001: 2914 3060 2804 
1002: 4236 3481 2208 
1003: 925 3490 2580 
1004: 2371 1114 2582 
1005: 906 2048 2496 
1006: 2040 4955 2116 
1007: 745 1318 1621 
1008: 191 3179 2916 
1009: 592 4308 2375 
1010: 3047 4023 1248 
1011: 3052 1920 4875 
1012: 229 4037 2457 
1013: 3171 4350 1215 
1014: 830 2928 2539 
1015: 3313 2664 4654 
1016: 348 530 1332 
1017: 4924 3681 1310 
1018: 242 522 1606 
1019: 566 4073 4041 
1020: 4250 2618 3415 
1021: 82 1493 2558 
1022: 967 1629 2953 
1023: 2806 3841 3677 
1024: 4145 4876 1454 
1025: 3216 3082 4404 
1026: 681 1831 1593 
1027: 1371 4012 1669 
1028: 2509 2054 1357 
1029: 3017 2324 1509 
1030: 284 3460 4096 
1031: 3168 2233 1491 
1032: 4020 1591 3960 
1033: 1582 2176 1491 
1034: 2750 4395 1486 
1035: 45 117 1131 
1036: 1936 2633 3508 
1037: 1411 4194 3793 
1038: 3443 1993 4092 
1039: 395 2682 3039 
1040: 831 1390 3912 
1041: 4178 3647 2673 
1042: 653 1724 2574 
1043: 4058 3041 2562 
1044: 668 887 3922 
1045: 1550 4430 3026 
1046: 642 3239 1962 
1047: 416 862 4583 
